pai_date,pai_datetime_beginning_utc,pai_datetime_beginning_ept,pai_datetime_ending_utc,pai_datetime_ending_ept,pai_area,final_bal_ratio
12/24/2022 12:00:00 AM,12/24/2022 1:40:00 PM,12/24/2022 8:40:00 AM,12/24/2022 1:45:00 PM,12/24/2022 8:45:00 AM,RTO,83.71
12/24/2022 12:00:00 AM,12/24/2022 1:45:00 PM,12/24/2022 8:45:00 AM,12/24/2022 1:50:00 PM,12/24/2022 8:50:00 AM,RTO,83.17
12/24/2022 12:00:00 AM,12/24/2022 1:50:00 PM,12/24/2022 8:50:00 AM,12/24/2022 1:55:00 PM,12/24/2022 8:55:00 AM,RTO,83.73
12/24/2022 12:00:00 AM,12/24/2022 1:55:00 PM,12/24/2022 8:55:00 AM,12/24/2022 2:00:00 PM,12/24/2022 9:00:00 AM,RTO,83.93
12/24/2022 12:00:00 AM,12/24/2022 2:00:00 PM,12/24/2022 9:00:00 AM,12/24/2022 2:05:00 PM,12/24/2022 9:05:00 AM,RTO,83.13
12/24/2022 12:00:00 AM,12/24/2022 2:05:00 PM,12/24/2022 9:05:00 AM,12/24/2022 2:10:00 PM,12/24/2022 9:10:00 AM,RTO,83.34
12/24/2022 12:00:00 AM,12/24/2022 2:10:00 PM,12/24/2022 9:10:00 AM,12/24/2022 2:15:00 PM,12/24/2022 9:15:00 AM,RTO,83.37
12/24/2022 12:00:00 AM,12/24/2022 2:15:00 PM,12/24/2022 9:15:00 AM,12/24/2022 2:20:00 PM,12/24/2022 9:20:00 AM,RTO,82.40
12/24/2022 12:00:00 AM,12/24/2022 2:20:00 PM,12/24/2022 9:20:00 AM,12/24/2022 2:25:00 PM,12/24/2022 9:25:00 AM,RTO,82.53
12/24/2022 12:00:00 AM,12/24/2022 2:25:00 PM,12/24/2022 9:25:00 AM,12/24/2022 2:30:00 PM,12/24/2022 9:30:00 AM,RTO,82.59
12/24/2022 12:00:00 AM,12/24/2022 2:30:00 PM,12/24/2022 9:30:00 AM,12/24/2022 2:35:00 PM,12/24/2022 9:35:00 AM,RTO,82.51
12/24/2022 12:00:00 AM,12/24/2022 2:35:00 PM,12/24/2022 9:35:00 AM,12/24/2022 2:40:00 PM,12/24/2022 9:40:00 AM,RTO,83.48
12/24/2022 12:00:00 AM,12/24/2022 2:40:00 PM,12/24/2022 9:40:00 AM,12/24/2022 2:45:00 PM,12/24/2022 9:45:00 AM,RTO,83.36
12/24/2022 12:00:00 AM,12/24/2022 2:45:00 PM,12/24/2022 9:45:00 AM,12/24/2022 2:50:00 PM,12/24/2022 9:50:00 AM,RTO,83.47
12/24/2022 12:00:00 AM,12/24/2022 2:50:00 PM,12/24/2022 9:50:00 AM,12/24/2022 2:55:00 PM,12/24/2022 9:55:00 AM,RTO,83.44
